Cluster,Tamanho,Proporção (%),Evasão Média (%),Evasão Mediana (%),Evasão Mínima (%),Evasão Máxima (%),Curso Predominante,Região Predominante,Média Categoria Administrativa,Média Organização Acadêmica,Média Grau Acadêmico,Média Modalidade de Ensino,Média Código da Grande Área do Curso segundo a classificação CINE BRASIL
0,8984,56.04491578290705,53.74725643708141,57.60434782608696,0.0,100.0,SISTEMAS DE INFORMAÇÃO,Sudeste,3.630565449688335,1.7918521816562778,1.0782502226179875,1.0155832591273375,5.829140694568121
1,7046,43.955084217092946,54.45811178922044,58.333333333333336,0.0,100.0,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Sudeste,3.8778030087993187,2.2852682372977577,2.973743968208913,1.0227079193868862,5.895685495316491
